Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index
9830,tt1272878,movie,2 Guns,2 Guns,0,2013,\N,109,"Action,Comedy,Thriller", guns,2013-08-02,2 Guns,61000000.0,75612460.0,132493015.0,Universal,R,Action,1,6.7,222140.0,19.346153846153847
1894,tt0315733,movie,21 Grams,21 Grams,0,2003,\N,124,"Crime,Drama,Thriller", grams,2003-11-21,21 Grams,20000000.0,16248701.0,59667625.0,Focus Features,R,Drama,1,7.6,243497.0,
21430,tt2849586,tvEpisode,21 and Over,21 and Over,0,2013,\N,\N,Talk-Show, and over,2013-03-01,21 and Over,13000000.0,25682380.0,42195766.0,Relativity,R,Comedy,1,,,
18730,tt2294449,movie,22 Jump Street,22 Jump Street,0,2014,\N,112,"Action,Comedy,Crime", jump street,2014-06-13,22 Jump Street,50000000.0,191719337.0,331333876.0,Sony Pictures,R,Comedy,1,7.0,397623.0,
18800,tt2304459,movie,23 Blast,23 Blast,0,2014,\N,98,"Drama,Sport", blast,2014-10-24,23 Blast,1000000.0,549185.0,549185.0,Abramorama Films,PG-13,Drama,1,6.4,2134.0,4.076923076923077
1844,tt0307901,movie,25th Hour,25th Hour,0,2002,\N,135,Drama,th hour,2002-12-19,25th Hour,4500000.0,13084595.0,25344490.0,Walt Disney,R,Drama,1,7.6,183191.0,
3042,tt0463854,movie,28 Weeks Later,28 Weeks Later,0,2007,\N,100,"Horror,Sci-Fi", weeks later,2007-05-11,28 Weeks Later,15000000.0,28638916.0,64232714.0,20th Century Fox,R,Horror,1,6.9,288400.0,6.826923076923077
10373,tt1314190,movie,3 Backyards,3 Backyards,0,2010,\N,88,Drama, backyards,2011-03-11,3 Backyards,300000.0,39475.0,39475.0,Screen Media Films,R,Drama,1,5.0,752.0,7.173076923076923
2478,tt0389722,movie,30 Days of Night,30 Days of Night,0,2007,\N,113,"Action,Horror,Thriller", days of night,2007-10-19,30 Days of Night,30000000.0,39568996.0,80276156.0,Sony Pictures,R,Horror,1,6.6,185954.0,6.730769230769231
14154,tt1622547,movie,30 Minutes or Less,30 Minutes or Less,0,2011,\N,83,"Action,Comedy,Crime", minutes or less,2011-08-12,30 Minutes or Less,28000000.0,37053924.0,40966716.0,Sony Pictures,R,Comedy,1,6.1,105616.0,3.0961538461538463
1320,tt0233142,movie,3000 Miles to Graceland,3000 Miles to Graceland,0,2001,\N,125,"Action,Comedy,Crime", miles to graceland,2001-02-23,3000 Miles to Graceland,62000000.0,15738632.0,18708848.0,Warner Bros.,R,Drama,1,6.0,48176.0,
9533,tt1253863,movie,300: Rise of an Empire,300: Rise of an Empire,0,2014,\N,102,"Action,Drama,War", rise of an empire,2014-03-07,300: Rise of an Empire,110000000.0,106580051.0,330780051.0,Warner Bros.,R,Action,1,6.2,311915.0,6.711538461538462
10690,tt1335975,movie,47 Ronin,47 Ronin,0,2013,\N,128,"Action,Drama,Fantasy", ronin,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,Universal,PG-13,Action,1,6.2,168423.0,4.980769230769231
12738,tt1486193,movie,5 Days of War,5 Days of War,0,2011,\N,113,"Action,Drama,War", days of war,2011-08-19,5 Days of War,12000000.0,17479.0,87793.0,Anchor Bay Entertai…,R,Drama,1,5.6,14217.0,
15252,tt1777595,movie,50 to 1,50 to 1,0,2014,\N,110,Drama, to ,2014-03-21,50 to 1,10000000.0,1069454.0,1069454.0,Ten Furlongs,PG-13,Drama,1,6.3,2195.0,69.07692307692308
1766,tt0298203,movie,8 Mile,8 Mile,0,2002,\N,110,"Drama,Music", mile,2002-11-08,8 Mile,41000000.0,116724075.0,245768384.0,Universal,R,Drama,1,7.2,311950.0,
25365,tt4337690,movie,90 Minutes in Heaven,90 Minutes in Heaven,0,2015,\N,121,Drama, minutes in heaven,2015-09-11,90 Minutes in Heaven,5000000.0,4816142.0,4816142.0,Samuel Goldwyn Films,PG-13,Drama,1,4.9,4232.0,3.3653846153846154
29472,tt6359956,movie,A Bad Moms Christmas,A Bad Moms Christmas,0,2017,\N,104,Comedy,a bad moms christmas,2017-11-01,A Bad Moms Christmas,28000000.0,72110659.0,127710659.0,STX Entertainment,R,Comedy,1,5.6,55856.0,3.4038461538461537
1532,tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,\N,135,"Biography,Drama",a beautiful mind,2001-12-21,A Beautiful Mind,78000000.0,170708996.0,317668058.0,Universal,PG-13,Drama,1,8.2,968289.0,
13599,tt1554091,movie,A Better Life,A Better Life,0,2011,\N,98,"Drama,Romance",a better life,2011-06-24,A Better Life,10000000.0,1759252.0,1884251.0,Summit Entertainment,PG-13,Drama,1,7.2,16410.0,16.75
13752,tt1571222,movie,A Dangerous Method,A Dangerous Method,0,2011,\N,99,"Biography,Drama,Romance",a dangerous method,2011-11-23,A Dangerous Method,20000000.0,5702083.0,14807531.0,Sony Pictures Classics,R,Drama,1,6.4,107251.0,8.076923076923077
14044,tt1606378,movie,A Good Day to Die Hard,A Good Day to Die Hard,0,2013,\N,98,"Action,Thriller",a good day to die hard,2013-02-14,A Good Day to Die Hard,92000000.0,67349198.0,304249198.0,20th Century Fox,R,Action,1,5.2,212729.0,5.788461538461538
2568,tt0401445,movie,A Good Year,A Good Year,0,2006,\N,117,"Comedy,Drama,Romance",a good year,2006-11-10,A Good Year,35000000.0,7459300.0,42064105.0,20th Century Fox,PG-13,Drama,1,6.9,99696.0,14.211538461538462
18399,tt2243537,movie,A Haunted House,A Haunted House,0,2013,\N,86,"Comedy,Fantasy,Horror",a haunted house,2013-01-11,A Haunted House,2500000.0,40041683.0,59922558.0,Open Road,R,Comedy,1,5.0,49129.0,7.923076923076923
21293,tt2828996,movie,A Haunted House 2,A Haunted House 2,0,2014,\N,86,"Comedy,Fantasy,Horror",a haunted house ,2014-04-18,A Haunted House 2,4000000.0,17329487.0,21206861.0,Open Road,R,Comedy,1,4.7,23009.0,8.48076923076923
2550,tt0399146,movie,A History of Violence,A History of Violence,0,2005,\N,96,"Action,Crime,Drama",a history of violence,2005-09-23,A History of Violence,32000000.0,31493782.0,61477797.0,New Line,R,Drama,1,7.4,249037.0,
22128,tt2980210,movie,A Hologram for the King,A Hologram for the King,0,2016,\N,98,"Comedy,Drama,Romance",a hologram for the king,2016-04-22,A Hologram for the King,35000000.0,4212494.0,11848058.0,Roadside Attractions,R,Drama,1,6.1,46912.0,
2174,tt0359423,movie,A Home at the End of the World,A Home at the End of the World,0,2004,\N,97,"Drama,Romance",a home at the end of the world,2004-07-23,A Home at the End of the World,6500000.0,1029017.0,1033810.0,Warner Independent,R,Drama,1,6.6,13908.0,
2490,tt0391304,movie,A Lot Like Love,A Lot Like Love,0,2005,\N,107,"Comedy,Drama,Romance",a lot like love,2005-04-22,A Lot Like Love,25000000.0,21835784.0,41921590.0,Walt Disney,PG-13,Comedy,1,6.6,70758.0,
1516,tt0266465,movie,A Man Apart,A Man Apart,0,2003,\N,109,"Action,Crime,Drama",a man apart,2003-04-04,A Man Apart,36000000.0,26500000.0,43797731.0,New Line,R,Action,1,6.0,49001.0,
5307,tt0829459,movie,A Mighty Heart,A Mighty Heart,0,2007,\N,108,"Biography,Drama,History",a mighty heart,2007-06-22,A Mighty Heart,15000000.0,9176787.0,19153568.0,Paramount Vantage,R,Drama,1,6.6,28097.0,
1860,tt0310281,movie,A Mighty Wind,A Mighty Wind,0,2003,\N,91,"Comedy,Music",a mighty wind,2003-04-16,A Mighty Wind,6000000.0,17583468.0,18504539.0,Warner Bros.,PG-13,Comedy,1,7.2,29146.0,
23356,tt3416532,movie,A Monster Calls,A Monster Calls,0,2016,\N,108,"Adventure,Drama,Family",a monster calls,2017-01-06,A Monster Calls,43000000.0,3740823.0,46414964.0,Focus Features,PG-13,Drama,1,7.4,92076.0,
21876,tt2937898,movie,A Most Violent Year,A Most Violent Year,0,2014,\N,125,"Action,Crime,Drama",a most violent year,2014-12-31,A Most Violent Year,20000000.0,5749134.0,8398291.0,A24,R,Drama,1,7.0,76247.0,
2701,tt0420087,movie,A Prairie Home Companion,A Prairie Home Companion,0,2006,\N,105,"Comedy,Drama,Music",a prairie home companion,2006-06-09,A Prairie Home Companion,10000000.0,20342852.0,26716191.0,Picturehouse,PG-13,Comedy,1,6.7,23398.0,
29983,tt6644200,movie,A Quiet Place,A Quiet Place,0,2018,\N,90,"Drama,Horror,Sci-Fi",a quiet place,2018-04-06,A Quiet Place,17000000.0,188024361.0,334524361.0,Paramount Pictures,PG-13,Horror,1,7.5,567376.0,
6311,tt1019452,movie,A Serious Man,A Serious Man,0,2009,\N,106,"Comedy,Drama",a serious man,2009-10-02,A Serious Man,7000000.0,9228788.0,30360570.0,Focus Features,R,Comedy,1,7.0,147809.0,8.634615384615385
10396,tt1315981,movie,A Single Man,A Single Man,0,2009,\N,99,"Crime,Drama,Romance",a single man,2009-12-11,A Single Man,7000000.0,9176000.0,28142379.0,Weinstein Co.,R,Drama,1,7.5,116447.0,
1913,tt0318081,movie,A Sound of Thunder,A Sound of Thunder,0,2005,\N,110,"Action,Adventure,Horror",a sound of thunder,2005-09-02,A Sound of Thunder,80000000.0,1900451.0,6300451.0,Warner Bros.,PG-13,Action,1,4.2,20326.0,11.673076923076923
35142,tt9853012,tvEpisode,A Star is Born,A Star is Born,0,2019,\N,\N,Comedy,a star is born,2018-10-05,A Star is Born,36000000.0,126181246.0,200881246.0,Warner Bros.,R,Drama,1,7.2,40.0,
4974,tt0763831,movie,A Thousand Words,A Thousand Words,0,2012,\N,91,"Comedy,Drama,Fantasy",a thousand words,2012-03-09,A Thousand Words,40000000.0,18450127.0,20790486.0,Paramount Pictures,PG-13,Comedy,1,5.8,44220.0,
17182,tt2098891,tvEpisode,A Very Harold & Kumar 3D Christmas,A Very Harold & Kumar 3D Christmas,0,2011,\N,\N,Adventure,a very harold  kumar d christmas,2011-11-04,A Very Harold & Kumar 3D Christmas,20000000.0,35061031.0,36265745.0,Warner Bros.,R,Comedy,1,,,
2236,tt0365907,movie,A Walk Among the Tombstones,A Walk Among the Tombstones,0,2014,\N,114,"Action,Crime,Drama",a walk among the tombstones,2014-09-19,A Walk Among the Tombstones,28000000.0,26017685.0,62108587.0,Universal,R,Action,1,6.5,125882.0,
1622,tt0281358,movie,A Walk to Remember,A Walk to Remember,0,2002,\N,101,"Drama,Romance",a walk to remember,2002-01-25,A Walk to Remember,11000000.0,41227069.0,46060915.0,Warner Bros.,PG,Drama,1,7.3,218418.0,
14142,tt1620680,movie,A Wrinkle in Time,A Wrinkle in Time,0,2018,\N,109,"Adventure,Drama,Family",a wrinkle in time,2018-03-09,A Wrinkle in Time,103000000.0,100478608.0,133401882.0,Walt Disney,PG,Adventure,1,4.3,47134.0,6.519230769230769
17170,tt2097333,movie,A.C.O.R.N.S.: Operation Crackdown,Get Squirrely,0,2015,\N,83,"Animation,Comedy,Family",acorns operation crackdown,2016-11-01,A.C.O.R.N.S.: Operation Crackdown,8500000.0,0.0,1353287.0,Viva Entertainment,PG,Adventure,1,3.6,441.0,
3067,tt0466856,movie,ATL,ATL,0,2006,\N,105,"Comedy,Crime,Drama",atl,2006-03-31,ATL,17000000.0,21170563.0,21170563.0,Warner Bros.,PG-13,Comedy,1,6.1,12068.0,43.34615384615385
1470,tt0257360,movie,About Schmidt,About Schmidt,0,2002,\N,125,Drama,about schmidt,2002-12-13,About Schmidt,30000000.0,65005217.0,107054484.0,New Line,R,Drama,1,7.2,131982.0,
14072,tt1611224,movie,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,0,2012,\N,105,"Action,Fantasy,Horror",abraham lincoln vampire hunter,2012-06-22,Abraham Lincoln: Vampire Hunter,67500000.0,37519139.0,137489730.0,20th Century Fox,R,Horror,1,5.9,160211.0,
7998,tt1137470,movie,Accidental Love,Accidental Love,0,2015,\N,100,"Comedy,Romance",accidental love,2015-03-17,Accidental Love,26000000.0,0.0,135436.0,Alchemy,PG-13,Comedy,1,4.1,8953.0,
13936,tt1591479,movie,Act of Valor,Act of Valor,0,2012,\N,110,"Action,Adventure,Thriller",act of valor,2012-02-24,Act of Valor,12000000.0,70012847.0,82497035.0,Relativity,R,Action,1,6.4,71142.0,5.4423076923076925
29766,tt6495770,movie,Action Point,Action Point,0,2018,\N,85,Comedy,action point,2018-06-01,Action Point,19000000.0,5059608.0,5103675.0,Paramount Pictures,R,Comedy,1,5.1,12054.0,5.711538461538462
8577,tt1185836,movie,Adam,Adam,0,2009,\N,99,"Comedy,Drama,Romance",adam,2009-07-29,Adam,3200000.0,2283291.0,2834485.0,Fox Searchlight,PG-13,Drama,1,7.1,35506.0,54.69230769230769
33006,tt8250826,tvEpisode,Adaptation,Adaptation,0,2019,\N,51,"Drama,Horror,Thriller",adaptation,2002-12-06,Adaptation,18500000.0,22498520.0,32531759.0,Sony Pictures,R,Comedy,1,7.9,7419.0,
18180,tt2205401,movie,Addicted,Addicted,0,2014,\N,106,"Drama,Romance,Thriller",addicted,2014-10-10,Addicted,5000000.0,17390770.0,17499242.0,Lionsgate,R,Drama,1,5.0,11959.0,44.21153846153846
7030,tt1074929,movie,Adoration,Adoration,0,2008,\N,101,"Drama,Romance",adoration,2009-05-08,Adoration,4000000.0,294244.0,384244.0,Sony Pictures Classics,R,Drama,1,6.3,3457.0,
29312,tt6306064,movie,Adrift,Adrift,0,2018,\N,96,"Action,Adventure,Biography",adrift,2018-06-01,Adrift,35000000.0,31445011.0,57931376.0,STX Entertainment,PG-13,Drama,1,6.6,60405.0,
12975,tt15066812,tvEpisode,Aeon Flux,Aeon Flux,0,2010,\N,\N,"Action,Adventure,Comedy",aeon flux,2005-12-02,Aeon Flux,55000000.0,25857987.0,53913573.0,Paramount Pictures,PG-13,Action,1,,,
15455,tt1815862,movie,After Earth,After Earth,0,2013,\N,100,"Action,Adventure,Sci-Fi",after earth,2013-05-31,After Earth,130000000.0,60522097.0,251499665.0,Sony Pictures,PG-13,Action,1,4.8,206977.0,8.173076923076923
2257,tt0367479,movie,After the Sunset,After the Sunset,0,2004,\N,97,"Action,Comedy,Crime",after the sunset,2004-11-12,After the Sunset,57000000.0,28328132.0,38329114.0,New Line,PG-13,Action,1,6.2,49320.0,
5353,tt0838247,movie,After.Life,After.Life,0,2009,\N,104,"Drama,Mystery,Thriller",afterlife,2010-04-09,After.Life,4500000.0,108596.0,2481925.0,,R,Horror,1,5.9,40478.0,
1872,tt0312329,movie,Against the Ropes,Against the Ropes,0,2004,\N,110,"Biography,Drama,Romance",against the ropes,2004-02-20,Against the Ropes,39000000.0,5881504.0,6429865.0,Paramount Pictures,PG-13,Drama,1,5.3,7374.0,
1881,tt0313911,movie,Agent Cody Banks,Agent Cody Banks,0,2003,\N,102,"Action,Adventure,Comedy",agent cody banks,2003-03-14,Agent Cody Banks,25000000.0,47545060.0,58240458.0,MGM,PG,Adventure,1,5.1,36488.0,
8601,tt1186830,movie,Agora,Agora,0,2009,\N,127,"Adventure,Biography,Drama",agora,2010-05-28,Agora,70000000.0,619423.0,38992292.0,Newmarket Films,R,Drama,1,7.1,72230.0,
19330,tt2388637,movie,Ain't Them Bodies Saints,Ain't Them Bodies Saints,0,2013,\N,96,"Crime,Drama,Romance",aint them bodies saints,2013-08-16,Ain't Them Bodies Saints,5000000.0,391611.0,1075009.0,IFC Films,R,Drama,1,6.4,22534.0,
676,tt0106233,movie,Airborne,Airborne,0,1993,\N,91,"Adventure,Comedy,Sport",airborne,2012-09-14,Airborne,1200000.0,0.0,0.0,Image Entertainment,,Horror,1,6.2,7443.0,61.92307692307692
2855,tt0437800,movie,Akeelah and the Bee,Akeelah and the Bee,0,2006,\N,112,"Drama,Family",akeelah and the bee,2006-04-28,Akeelah and the Bee,8000000.0,18848430.0,18959424.0,Lionsgate,PG,Drama,1,7.4,21271.0,
595,tt0094625,movie,Akira,Akira,0,1988,\N,124,"Action,Animation,Drama",akira,2001-04-27,Akira,8000000.0,19585.0,19585.0,,R,Action,1,8.0,199335.0,
14003,tt1602098,movie,Albert Nobbs,Albert Nobbs,0,2011,\N,113,"Drama,Romance",albert nobbs,2011-12-21,Albert Nobbs,7500000.0,3014696.0,8539003.0,Roadside Attractions,R,Drama,1,6.7,25347.0,15.865384615384615
1918,tt0318283,movie,Alex & Emma,Alex & Emma,0,2003,\N,96,"Comedy,Romance",alex  emma,2003-06-20,Alex & Emma,30000000.0,14208384.0,15358583.0,Warner Bros.,PG-13,Drama,1,5.5,13799.0,
33239,tt8408064,tvEpisode,Alex Rider: Operation Stormbreaker,Alex Rider: Operation Stormbreaker,0,2018,\N,32,"Action,Comedy,Fantasy",alex rider operation stormbreaker,2006-10-13,Alex Rider: Operation Stormbreaker,40000000.0,659210.0,20722450.0,Weinstein Co.,PG,Action,1,8.6,7.0,8.711538461538462
2098,tt0346491,movie,Alexander,Alexander,0,2004,\N,175,"Action,Biography,Drama",alexander,2004-11-24,Alexander,155000000.0,34297191.0,167297191.0,Warner Bros.,R,Action,1,5.6,174588.0,52.06382978723404
1414,tt0248667,movie,Ali,Ali,0,2001,\N,157,"Biography,Drama,Sport",ali,2001-12-25,Ali,109000000.0,58183966.0,87683966.0,Sony Pictures,R,Drama,1,6.7,104077.0,
19894,tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,0,2016,\N,113,"Adventure,Family,Fantasy",alice through the looking glass,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276934087.0,Walt Disney,PG,Adventure,1,6.2,118629.0,
16844,tt2040578,movie,Alien Uprising,U.F.O.,0,2012,\N,101,"Comedy,Horror,Sci-Fi",alien uprising,2013-06-21,Alien Uprising,2500000.0,0.0,0.0,Phase 4 Films,R,Action,1,3.1,3673.0,
18877,tt2316204,movie,Alien: Covenant,Alien: Covenant,0,2017,\N,122,"Horror,Sci-Fi,Thriller",alien covenant,2017-05-19,Alien: Covenant,97000000.0,74262031.0,238521247.0,20th Century Fox,R,Horror,1,6.4,296037.0,
5028,tt0775552,movie,Aliens in the Attic,Aliens in the Attic,0,2009,\N,86,"Adventure,Comedy,Family",aliens in the attic,2009-07-31,Aliens in the Attic,45000000.0,25200412.0,59551283.0,20th Century Fox,PG,Adventure,1,5.4,23824.0,
1591,tt0278295,movie,All About the Benjamins,All About the Benjamins,0,2002,\N,95,"Action,Comedy,Crime",all about the benjamins,2002-03-08,All About the Benjamins,14000000.0,25482931.0,25873145.0,New Line,R,Comedy,1,5.8,15385.0,
14525,tt1666185,movie,All Eyez on Me,All Eyez on Me,0,2017,\N,139,"Biography,Drama,Music",all eyez on me,2017-06-16,All Eyez on Me,45000000.0,44922302.0,54876855.0,Lionsgate,R,Drama,1,5.9,24400.0,
8477,tt1175709,movie,All Good Things,All Good Things,0,2010,\N,101,"Crime,Drama,Mystery",all good things,2010-12-03,All Good Things,20000000.0,582024.0,873617.0,Magnolia Pictures,R,Drama,1,6.3,58732.0,
26014,tt4663548,movie,All Saints,All Saints,0,2017,\N,108,Drama,all saints,2017-08-25,All Saints,2000000.0,5802208.0,5941994.0,Sony Pictures,PG,Drama,1,6.2,1880.0,
1670,tt0286261,movie,All or Nothing,All or Nothing,0,2002,\N,128,Drama,all or nothing,2002-10-25,All or Nothing,9000000.0,184255.0,184255.0,MGM,R,Drama,1,7.5,11327.0,
3228,tt0490076,movie,All the Boys Love Mandy Lane,All the Boys Love Mandy Lane,0,2006,\N,90,"Horror,Mystery,Thriller",all the boys love mandy lane,2013-10-11,All the Boys Love Mandy Lane,750000.0,0.0,1960521.0,Radius,R,Horror,1,5.5,34410.0,
2601,tt0405676,movie,All the King's Men,All the King's Men,0,2006,\N,128,"Drama,Thriller",all the kings men,2006-09-22,All the King's Men,55000000.0,7221458.0,9521458.0,Sony Pictures,PG-13,Drama,1,6.1,25356.0,
1431,tt0252223,movie,All the Queen's Men,All the Queen's Men,0,2001,\N,99,"Action,Comedy,Drama",all the queens men,2002-10-25,All the Queen's Men,15000000.0,22723.0,22723.0,Strand,PG-13,Comedy,1,4.8,2719.0,
1780,tt0299458,movie,All the Real Girls,All the Real Girls,0,2003,\N,108,"Drama,Romance",all the real girls,2003-02-14,All the Real Girls,1000000.0,549666.0,703020.0,Sony Pictures Classics,R,Drama,1,6.7,10969.0,
23841,tt3640424,movie,Allied,Allied,0,2016,\N,124,"Action,Drama,Romance",allied,2016-11-23,Allied,106000000.0,40098064.0,119285656.0,Paramount Pictures,R,Drama,1,7.1,165397.0,
25987,tt4649416,movie,Almost Christmas,Almost Christmas,0,2016,\N,111,"Comedy,Drama,Romance",almost christmas,2016-11-11,Almost Christmas,17000000.0,42065185.0,42493506.0,Universal,PG-13,Drama,1,6.1,7443.0,3.25
19697,tt2494384,movie,Aloft,Aloft,0,2014,\N,112,Drama,aloft,2015-05-22,Aloft,8000000.0,53086.0,53086.0,Sony Pictures Classics,R,Drama,1,5.3,3952.0,86.57692307692308
9419,tt1243974,movie,Aloha,Aloha,0,2015,\N,105,"Comedy,Drama,Romance",aloha,2015-05-29,Aloha,37000000.0,21052030.0,24935799.0,Sony Pictures,PG-13,Drama,1,5.4,69923.0,
2283,tt0369226,movie,Alone in the Dark,Alone in the Dark,0,2005,\N,99,"Action,Horror,Sci-Fi",alone in the dark,2005-01-28,Alone in the Dark,20000000.0,5178569.0,8178569.0,Lionsgate,R,Horror,1,2.4,46717.0,24.846153846153847
5801,tt0952640,movie,Alvin and the Chipmunks,Alvin and the Chipmunks,0,2007,\N,92,"Adventure,Comedy,Family",alvin and the chipmunks,2007-12-14,Alvin and the Chipmunks,55000000.0,217326974.0,362605033.0,20th Century Fox,PG,Adventure,1,5.2,92428.0,
7883,tt1129445,movie,Amelia,Amelia,0,2009,\N,111,"Adventure,Biography,Drama",amelia,2009-10-23,Amelia,40000000.0,14279575.0,19756077.0,Fox Searchlight,PG,Drama,1,5.8,13332.0,
4982,tt0765429,movie,American Gangster,American Gangster,0,2007,\N,157,"Biography,Crime,Drama",american gangster,2007-11-02,American Gangster,100000000.0,130164645.0,267985456.0,Universal,R,Drama,1,7.8,444478.0,
21789,tt2923316,movie,American Heist,American Heist,0,2014,\N,94,"Action,Crime,Drama",american heist,2015-07-21,American Heist,10000000.0,0.0,0.0,Lionsgate,R,Action,1,5.0,17443.0,
24056,tt3721936,movie,American Honey,American Honey,0,2016,\N,163,"Adventure,Drama,Romance",american honey,2016-09-30,American Honey,3500000.0,663247.0,2611750.0,A24,R,Drama,1,7.0,45647.0,29.25
1438,tt0252866,movie,American Pie 2,American Pie 2,0,2001,\N,108,Comedy,american pie ,2001-08-10,American Pie 2,30000000.0,145096820.0,286500000.0,Universal,R,Comedy,1,6.4,266444.0,
14033,tt1605630,movie,American Reunion,American Reunion,0,2012,\N,113,Comedy,american reunion,2012-04-06,American Reunion,50000000.0,56758835.0,236799211.0,Universal,R,Comedy,1,6.7,221541.0,
17925,tt2179136,movie,American Sniper,American Sniper,0,2014,\N,133,"Action,Biography,Drama",american sniper,2014-12-25,American Sniper,58000000.0,350126372.0,547326372.0,Warner Bros.,R,Drama,1,7.3,517258.0,
1825,tt0305206,movie,American Splendor,American Splendor,0,2003,\N,101,"Biography,Comedy,Drama",american splendor,2003-08-15,American Splendor,2000000.0,6003587.0,8685632.0,Fine Line,R,Drama,1,7.4,51380.0,
1993,tt0328828,movie,American Wedding,American Wedding,0,2003,\N,96,Comedy,american wedding,2003-08-01,American Wedding,55000000.0,104354205.0,126425115.0,Universal,R,Comedy,1,6.3,214353.0,
13671,tt1562847,movie,Amigo,Amigo,0,2010,\N,124,"Drama,War",amigo,2011-08-19,Amigo,1500000.0,184705.0,184705.0,Variance Films,R,Drama,1,6.4,651.0,
1387,tt0245712,movie,Amores Perros,Amores perros,0,2000,\N,154,"Drama,Thriller",amores perros,2001-03-30,Amores Perros,2000000.0,5383834.0,20883834.0,Lionsgate,R,Drama,1,8.1,249563.0,
14009,tt1602620,movie,Amour,Amour,0,2012,\N,127,Drama,amour,2012-12-19,Amour,9700000.0,6738954.0,36787044.0,Sony Pictures Classics,PG-13,Drama,1,7.9,104303.0,
8653,tt1190617,movie,An American Carol,An American Carol,0,2008,\N,83,"Comedy,Fantasy",an american carol,2008-10-03,An American Carol,20000000.0,7013191.0,7022183.0,Vivendi Entertainment,PG-13,Comedy,1,4.0,10037.0,
2778,tt0429573,movie,An American Haunting,An American Haunting,0,2005,\N,83,"Drama,Horror,Mystery",an american haunting,2006-05-05,An American Haunting,14000000.0,16298046.0,30443277.0,Freestyle Releasing,PG-13,Horror,1,5.0,26638.0,
8463,tt1174732,movie,An Education,An Education,0,2009,\N,100,Drama,an education,2009-10-09,An Education,7500000.0,12574914.0,29652736.0,Sony Pictures Classics,PG-13,Drama,1,7.3,137252.0,
2125,tt0350261,movie,An Unfinished Life,An Unfinished Life,0,2005,\N,108,"Drama,Family,Romance",an unfinished life,2005-09-09,An Unfinished Life,30000000.0,8535575.0,18535575.0,Miramax,PG-13,Drama,1,7.0,32696.0,8.73076923076923
